customerID,tenure,MonthlyCharges,TotalCharges,Churn,ChurnFlag,ServicesCount,IsNewCustomer,HasFiber,IsMonthToMonth,IsLongTermContract,IsElectronicCheck,AutoPayment,SeniorWithNoDependents,TechSupportOrSecurity,StreamingBundle,gender_Male,SeniorCitizen_1,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureBand_13-24,TenureBand_25-48,TenureBand_49+,TenureBand_7-12
7590-VHVEG,-1.2774445836787656,-1.1603229160349193,-0.9926105235902257,No,0,-1.145996840374596,1,0,1,0,1,0,0,0,0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
5575-GNVDE,0.06632741908223598,-0.2596289419448806,-0.17216470898960817,No,0,-0.176010571085054,0,0,0,1,0,0,0,1,0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
3668-QPYBK,-1.2367242199587352,-0.3626603559551803,-0.9580659010627455,Yes,1,-0.176010571085054,1,0,1,0,0,0,0,1,0,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
7795-CFOCW,0.5142514200025698,-0.7465354629935549,-0.1936723762720431,No,0,-0.176010571085054,0,0,0,1,0,1,0,1,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
9237-HQITU,-1.2367242199587352,0.19736523310080326,-0.9388744441030343,Yes,1,-1.145996840374596,1,1,1,0,1,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
9305-CDSKC,-0.9924020376385531,1.1595456961969886,-0.6437892489880273,Yes,1,0.7939756982044881,0,1,1,0,1,0,0,0,1,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True
1452-KIOVK,-0.4223169455581282,0.8089065291619363,-0.14573785216462656,No,0,0.30898256355971704,0,1,1,0,0,1,0,0,1,True,False,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False
6713-OKOMC,-0.9109613101984924,-1.1636465100352518,-0.8725867105812734,No,0,-1.145996840374596,0,0,1,0,0,0,0,1,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
7892-POOKP,-0.1779947632379461,1.330710787214099,0.33808539553347106,Yes,1,1.278968832849259,0,1,1,0,1,0,0,1,1,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False
6388-TABGU,1.2064976032430856,-0.28621769394753876,0.5330441272690194,No,0,-0.176010571085054,0,0,0,1,0,1,0,1,0,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
9763-GRSKD,-0.7888002190384014,-0.4922805219681379,-0.7466069281710316,No,0,-0.661003705729825,0,0,1,0,0,0,0,1,0,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
7469-LKBCI,-0.6666391278783103,-1.5225946620711341,-0.8616012559077836,No,0,-1.145996840374596,0,0,0,1,0,1,0,0,0,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False
