Age,Income,SpendingScore,NumPurchases,LoyaltyLevel
69.0,53154.58,58.68410638,15.0,Silver
32.0,40389.61,118.3007162,17.0,Silver
50.0,56045.8,120.0,15.0,Silver
78.0,22736.87,99.06192728,19.0,Gold
38.0,23440.9,120.0,19.0,Gold
46.5,40227.46,96.04947729,11.0,Gold
48.0,26867.59,99.63987631,13.0,Bronze
50.0,69628.18,107.8368329,19.0,Silver
41.0,26536.88,41.73296338,16.0,Silver
20.0,28347.82,102.8757062,19.0,Silver
39.0,44775.65,75.29542824,16.0,Silver
70.0,29892.29,90.21102717,18.0,Bronze
19.0,19585.17,114.6836996,22.0,Bronze
47.0,20958.97,120.0,15.0,Bronze
55.0,47518.91,51.71680793,10.0,Bronze
19.0,18409.91,120.0,15.0,Gold
46.5,73026.83,120.0,13.0,Gold
77.0,25714.24,118.5048432,17.0,Platinum
38.0,49419.87,120.0,16.0,Gold
50.0,26497.18,117.4109013,9.0,Bronze
46.5,22979.99,92.44008551,21.0,Gold
75.0,41070.77,105.4168564,19.0,Gold
39.0,61444.63,98.24498453,11.0,Silver
66.0,32090.53,50.3822714,15.0,Silver
76.0,35145.83,98.84232672,9.0,Platinum
59.0,54377.66,120.0,21.0,Silver
77.0,55285.37,61.1676003,13.0,Platinum
48.0,35623.26,78.83309866,13.0,Bronze
32.0,29093.21,107.4411307,20.0,Bronze
79.0,37847.79,92.91599157,17.0,Silver
79.0,33009.29,39.45428112,18.0,Silver
64.0,42467.19,39.75340651,10.0,Gold
79.0,19987.55,44.8491956,12.0,Platinum
68.0,41713.95,35.41090608,9.0,Silver
72.0,25357.97,33.77573572,17.0,Bronze
46.5,57121.95,68.68619492,13.0,Gold
20.0,25945.83,70.99308356,19.0,Silver
68.0,26171.99,22.3891331,11.0,Bronze
24.0,45374.22,0.0,27.0,Silver
38.0,36574.48,71.26749699,12.0,Gold
46.5,91524.68,25.42399163,18.0,Gold
56.0,16080.28,54.25489677,15.0,Silver
35.0,38365.98,18.68656254,6.0,Bronze
21.0,63884.03,75.95509971,22.0,Platinum
77.0,27196.49,100.8733579,15.0,Gold
31.0,23033.87,53.65613818,16.0,Silver
26.0,23495.58,48.11794703,15.0,Bronze
70.0,16220.31,43.5572085,21.0,Gold
19.0,71314.31,65.63598623,17.0,Bronze
77.0,30797.58,61.35373502,15.0,Bronze
50.0,29027.14,70.06996907,19.0,Silver
61.0,15000.0,37.44166955,22.0,Bronze
25.0,17732.35,56.80235413,13.0,Silver
64.0,75560.95,39.15063867,16.0,Bronze
52.0,42258.16,28.84568704,13.0,Gold
48.0,65072.05,49.17969158,13.0,Bronze
48.0,61083.45,31.54974539,15.0,Bronze
53.0,22019.64,73.47453995,11.0,Bronze
67.0,91524.68,32.76159244,15.0,Platinum
21.0,91524.68,57.27091881,20.0,Gold
19.0,27395.03,37.93155402,27.0,Bronze
23.0,15000.0,55.54125501,16.0,Gold
71.0,30385.9,39.52006853,14.0,Silver
21.0,40910.75,24.8557745,14.0,Platinum
71.0,27340.94,59.67545482,18.0,Silver
80.0,32507.92,45.29168756,11.0,Gold
35.0,23996.69,55.71969881,12.0,Bronze
61.0,57573.48,41.42314129,12.0,Silver
51.0,37489.52,23.44126972,17.0,Platinum
50.0,58440.07,71.66357194,16.0,Silver
79.0,66909.86,64.73515511,11.0,Bronze
31.0,15000.0,38.66078049,13.0,Bronze
65.0,24704.46,51.39558427,9.0,Gold
32.0,26581.89,70.84038966,12.0,Silver
50.0,91524.68,40.85923328,17.0,Silver
52.0,39124.44,43.9623099,10.0,Platinum
79.0,54517.68,54.87265,20.0,Bronze
57.0,15000.0,40.81817873,20.0,Bronze
52.0,39011.34,67.14183994,16.0,Platinum
48.0,59227.81,46.62198439,13.0,Bronze
70.0,55881.16,34.3192825,15.0,Bronze
41.0,49597.7,62.1727766,13.0,Silver
43.0,36552.33,27.15738701,21.0,Gold
77.0,37450.84,90.29757122,13.0,Bronze
58.0,15574.14,81.64992727,17.0,Platinum
46.0,23149.62,60.26990954,14.0,Gold
32.0,40760.63,58.58662044,27.0,Bronze
62.0,25387.5,57.64882836,16.0,Gold
50.0,51247.35,40.21810428,20.0,Silver
50.0,45861.96,55.94619291,11.0,Silver
26.0,71947.01,31.53734779,13.0,Gold
18.0,58637.34,60.07636837,10.0,Platinum
25.0,40685.65,67.35693886,14.0,Bronze
80.0,52785.42,42.43827798,11.0,Silver
28.0,60027.08,38.09796412,27.0,Silver
50.0,28177.56,25.75045951,15.0,Silver
25.0,30801.99,52.25031423,27.0,Silver
52.0,34599.24,39.68671932,20.0,Bronze
52.0,28630.7,46.02521928,14.0,Gold
50.0,60345.61,56.0031117,15.0,Silver
22.0,26538.31,55.64415286,19.0,Bronze
58.0,67902.34,64.93120191,19.0,Gold
45.0,30227.68,42.4134016,13.0,Gold
24.0,45990.88,27.22664123,18.0,Silver
48.0,39466.5,23.72669382,16.0,Bronze
50.0,22292.6,38.41489534,20.0,Silver
29.0,35956.14,30.96299051,11.0,Bronze
51.0,42908.35,43.92766589,15.0,Bronze
50.0,35166.66,76.15157622,12.0,Gold
65.0,18557.82,42.45443588,15.0,Bronze
40.0,85026.19,42.44698277,13.0,Bronze
79.0,37943.36,49.67202447,14.0,Bronze
54.0,24412.45,41.88750018,22.0,Bronze
61.0,81665.26,48.65217529,17.0,Bronze
52.0,49448.89,60.81738445,18.0,Platinum
48.0,19928.68,67.6950211,22.0,Bronze
64.0,21541.85,70.06426399,12.0,Bronze
48.0,32493.74,91.13704441,11.0,Bronze
20.0,42135.82,61.38718892,13.0,Platinum
18.0,49582.83,94.68957803,14.0,Silver
22.0,58401.06,34.47036384,16.0,Silver
31.0,47561.85,91.82569805,25.0,Gold
44.0,71208.89,42.39247892,15.0,Silver
26.0,38692.33,44.35962138,11.0,Bronze
48.0,24839.25,47.60254905,9.0,Bronze
32.0,36254.71,45.62758578,18.0,Silver
59.0,35084.32,51.71680793,16.0,Bronze
46.5,15000.0,38.39943995,20.0,Gold
68.0,27427.92,66.59924346,18.0,Bronze
80.0,42493.31,38.94329931,16.0,Silver
69.0,29374.79,51.71680793,16.0,Bronze
21.0,26288.72,80.55447239,11.0,Bronze
40.0,57278.93,42.8579526,12.0,Silver
32.0,22965.01,54.37311654,13.0,Platinum
60.0,51834.5,61.18318578,8.0,Silver
46.0,18650.49,95.05773764,17.0,Gold
53.0,91524.68,39.9033887,17.0,Bronze
30.0,32602.92,65.90143234,16.0,Bronze
49.0,30895.55,17.47977816,17.0,Bronze
48.0,64314.02,40.08283179,18.0,Bronze
76.0,29455.84,57.06785675,14.0,Bronze
45.0,75166.72,77.86319938,14.0,Bronze
46.5,43730.32,25.4813327,13.0,Gold
59.0,34228.06,65.72181281,17.0,Bronze
62.0,32451.34,48.73553087,23.0,Silver
79.0,66422.83,19.56944693,12.0,Silver
74.0,40751.32,53.63173692,11.0,Silver
23.0,45078.21,84.18322466,11.0,Silver
45.0,47595.85,27.5915468,19.0,Bronze
45.0,38811.35,47.80124569,15.0,Bronze
61.0,47095.66,30.26722031,17.0,Gold
47.0,34229.33,40.62834136,18.0,Gold
79.0,35422.26,51.71680793,11.0,Bronze
48.0,20752.93,51.71680793,10.0,Bronze
79.0,42145.37,78.03131475,13.0,Gold
18.0,15370.87,72.18108096,11.0,Bronze
44.0,41847.15,42.74524173,14.0,Silver
79.0,31561.46,39.94801079,12.0,Silver
48.0,43795.77,32.08002386,13.0,Bronze
20.0,21495.22,31.38237612,10.0,Silver
50.0,15000.0,57.06414789,7.0,Silver
48.0,30472.12,49.6042937,18.0,Bronze
44.0,21526.58,37.5278913,10.0,Silver
26.0,15000.0,19.02474156,17.0,Gold
79.0,53315.99,52.12357536,15.0,Silver
54.0,80871.69,40.60895642,16.0,Bronze
68.0,24380.14,46.09404609,16.0,Silver
61.0,34965.41,56.09323657,16.0,Gold
41.0,31135.6,0.0,12.0,Gold
50.0,26122.46,19.33450793,10.0,Silver
76.0,50608.19,95.92886154,19.0,Bronze
49.0,60178.52,39.86778987,14.0,Gold
69.0,23522.12,0.0,16.0,Gold
79.0,37137.53,21.00119641,19.0,Bronze
75.0,69027.93,99.68934737,18.0,Silver
69.0,51252.42,35.94005079,16.0,Bronze
29.0,55207.2,73.1803049,20.0,Gold
56.0,71969.14,52.42235997,12.0,Bronze
19.0,71497.84,40.30065925,13.0,Silver
20.0,60737.79,65.50890942,17.0,Platinum
73.0,39044.95,2.312866493,19.0,Gold
52.0,29994.18,21.1773476,18.0,Platinum
76.0,38243.88,40.15297976,10.0,Platinum
19.0,27800.15,23.14191203,13.0,Bronze
19.0,15000.0,38.38444423,10.0,Silver
71.0,31579.09,67.07426091,21.0,Silver
18.0,43423.81,52.64273443,11.0,Gold
36.0,27074.98,76.61234071,13.0,Bronze
19.0,32978.47,53.90750569,16.0,Platinum
70.0,33623.54,69.84921663,15.0,Silver
61.0,71569.79,48.718594,13.0,Gold
49.0,30341.79,38.19449033,10.0,Bronze
48.0,71561.8,79.61136111,13.0,Bronze
49.0,15000.0,35.81299424,14.0,Gold
48.0,71248.42,56.87689646,18.0,Bronze
72.0,69473.67,65.37794726,10.0,Gold
48.0,57018.29,66.82985409,13.0,Bronze
73.0,15000.0,26.6911466,14.0,Gold
34.0,60442.24,71.03900812,15.0,Silver
55.0,35416.76,30.42089508,19.0,Silver
41.0,15000.0,66.21407311,18.0,Gold
48.0,69500.47,60.70346942,17.0,Bronze
48.0,74763.61,66.37261324,21.0,Bronze
28.0,15000.0,25.89992958,19.0,Bronze
33.0,39644.62,61.75859485,16.0,Silver
50.0,72714.46,71.71187353,15.0,Silver
76.0,67176.63,53.86791566,13.0,Gold
50.0,55162.05,33.62766641,17.0,Silver
