Age,Income,SpendingScore,NumPurchases,LoyaltyLevel,LoyaltyLevel_Encoded,Age_scaled,Income_scaled,SpendingScore_scaled,NumPurchases_scaled,LoyaltyLevel_Encoded_scaled
69.0,53154.58,58.68410638,15.0,Silver,2,0.84,0.62478110896616,0.2354854179664097,0.0,0.0
32.0,40389.61,118.3007162,17.0,Silver,2,-0.64,0.13565419776484006,2.454464853634378,0.3333333333333333,0.0
50.0,56045.8,120.0,15.0,Silver,2,0.08,0.7355666030333988,2.5177135995618722,0.0,0.0
78.0,22736.87,99.06192728,19.0,Gold,3,1.2,-0.5407618212653644,1.7383812469091418,0.6666666666666666,0.5
38.0,23440.9,120.0,19.0,Gold,3,-0.4,-0.5137848664199502,2.5177135995618722,0.6666666666666666,0.5
46.5,40227.46,96.04947729,11.0,Gold,3,-0.06,0.12944094942572962,1.626255371268597,-0.6666666666666666,0.5
48.0,26867.59,99.63987631,13.0,Bronze,1,0.0,-0.382481283619172,1.7598929869478046,-0.3333333333333333,-0.5
50.0,69628.18,107.8368329,19.0,Silver,2,0.08,1.2560149531793512,2.0649904784554667,0.6666666666666666,0.0
41.0,26536.88,41.73296338,16.0,Silver,2,-0.28,-0.3951533980701568,-0.395450118986051,0.16666666666666666,0.0
20.0,28347.82,102.8757062,19.0,Silver,2,-1.12,-0.3257619707051949,1.8803332468839027,0.6666666666666666,0.0
39.0,44775.65,75.29542824,16.0,Silver,2,-0.36,0.30371806298390736,0.8537725315391788,0.16666666666666666,0.0
70.0,29892.29,90.21102717,18.0,Bronze,1,0.88,-0.26658111555683944,1.4089434377056296,0.5,-0.5
19.0,19585.17,114.6836996,22.0,Bronze,1,-1.16,-0.6615283632966579,2.319836509652679,1.1666666666666667,-0.5
47.0,20958.97,120.0,15.0,Bronze,1,-0.04,-0.608887225040291,2.5177135995618722,0.0,-0.5
55.0,47518.91,51.71680793,10.0,Bronze,1,0.28,0.4088340397877803,-0.0238431823916191,-0.8333333333333334,-0.5
19.0,18409.91,120.0,15.0,Gold,3,-1.16,-0.7065618646412332,2.5177135995618722,0.0,0.5
46.5,73026.83,120.0,13.0,Gold,3,-0.06,1.3862441019164318,2.5177135995618722,-0.3333333333333333,0.5
